id_ip,id_ip_folder
795,1
802,1
804,1
805,1
808,1
809,1
824,1
825,1
830,1
834,1
840,1
841,1
844,1
854,1
860,1
862,1
863,1
868,1
873,1
874,1
878,1
879,1
880,1
884,1
889,1
893,1
894,1
895,1
896,1
899,1
902,1
905,1
917,1
919,1
923,1
925,1
926,1
927,1
929,1
937,1
939,1
944,1
945,1
953,1
954,1
962,1
967,1
977,1
983,1
984,1
985,1
987,1
988,1
991,1
994,1
999,1
1008,1
1013,1
1014,1
1016,1
1017,1
1019,1
1023,1
1026,1
1032,1
1037,1
1040,1
1042,1
1046,1
1050,1
1053,1
1067,1
1069,1
1076,1
1084,1
1087,1
1088,1
1092,1
1099,1
1111,1
1114,1
1116,1
1126,1
1128,1
1129,1
1131,1
1135,1
1138,1
1139,1
1142,1
1154,1
1155,1
1158,1
1162,1
1166,1
1168,1
1178,1
1179,1
1190,1
1191,1
1195,1
1196,1
1197,1
1200,1
1204,1
1207,1
1209,1
1218,1
1220,1
1233,1
1234,1
1235,1
1241,1
1243,1
1245,1
1251,1
1252,1
1255,1
1257,1
1261,1
1262,1
1264,1
1266,1
1268,1
1278,1
1283,1
1284,1
1285,1
1289,1
1294,1
1302,1
1310,1
1311,1
1322,1
1323,1
1325,1
1326,1
1327,1
1329,1
1331,1
1334,1
1341,1
1342,1
1343,1
1349,1
1351,1
1355,1
1356,1
1357,1
1358,1
1359,1
1361,1
1362,1
1363,1
1365,1
1367,1
1368,1
1369,1
1370,1
1375,1
1376,1
1378,1
1379,1
1380,1
1381,1
1382,1
1383,1
1384,1
1385,1
1391,1
1392,1
1393,1
1395,1
1396,1
1397,1
1398,1
1399,1
1404,1
1413,1
1414,1
1420,1
1422,1
1423,1
1438,1
1449,1
1450,1
1451,1
1452,1
1458,1
1466,1
1473,1
1475,1
1476,1
1480,1
1481,1
1490,1
1493,1
1500,1
1508,1
1509,1
1510,1
1511,1
1513,1
1514,1
1517,1
1519,1
1520,1
1521,1
1529,1
1534,1
1535,1
1536,1
1538,1
1539,1
1540,1
1541,1
1551,1
1552,1
1553,1
1554,1
1555,1
1556,1
1557,1
1558,1
1565,1
1567,1
1569,1
1570,1
1573,1
1576,1
1580,1
1581,1
1582,1
1587,1
1589,1
1591,1
1593,1
1596,1
1597,1
1600,1
1602,1
1603,1
1604,1
1605,1
1606,1
1612,1
1615,1
1619,1
1620,1
1622,1
1623,1
1632,1
1637,1
1639,1
1640,1
1641,1
1642,1
1646,1
1647,1
1648,1
1652,1
1655,1
1656,1
1657,1
1658,1
1659,1
1661,1
1663,1
1670,1
1671,1
1672,1
1675,1
1680,1
1681,1
1682,1
1683,1
1684,1
1686,1
1688,1
1690,1
1692,1
1693,1
1695,1
1696,1
1697,1
1698,1
1699,1
1700,1
1701,1
1702,1
1710,1
1724,1
1727,1
1728,1
1729,1
1737,1
1739,1
1740,1
1741,1
1742,1
1743,1
1744,1
1745,1
1747,1
1748,1
1749,1
1753,1
1754,1
1755,1
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1766,1
1768,1
1769,1
1771,1
1773,1
1774,1
1775,1
1777,1
1778,1
1779,1
1781,1
1782,1
1783,1
1784,1
1785,1
1786,1
1787,1
1788,1
1790,1
1791,1
1792,1
1793,1
1794,1
1795,1
1796,1
1798,1
1802,1
1803,1
1804,1
1808,1
1810,1
1813,1
1814,1
1821,1
1822,1
1823,1
1824,1
1828,1
1833,1
1834,1
1835,1
1838,1
1841,1
1845,1
1846,1
1847,1
1849,1
1852,1
1853,1
1854,1
1856,1
1859,1
1861,1
1864,1
1865,1
1866,1
1871,1
1874,1
1875,1
1880,1
1881,1
1882,1
1884,1
1890,1
1891,1
1895,1
1901,1
1910,1
1911,1
1912,1
1916,1
1918,1
1919,1
1920,1
1921,1
1922,1
1928,1
1931,1
1940,1
1941,1
1942,1
1943,1
1947,1
1951,1
1952,1
1953,1
1954,1
1955,1
1956,1
1961,1
1962,1
1963,1
1965,1
1969,1
1970,1
1971,1
1976,1
1982,1
1988,1
1991,1
1993,1
2001,1
2003,1
2009,1
2011,1
2012,1
2014,1
2017,1
2021,1
2027,1
2028,1
2030,1
2036,1
2039,1
2040,1
2042,1
2043,1
2047,1
2062,1
2066,1
2068,1
2069,1
2077,1
2081,1
2082,1
2083,1
2084,1
2085,1
2087,1
2090,1
2105,1
2108,1
2110,1
2113,1
2116,1
2120,1
2124,1
2131,1
2132,1
2133,1
2135,1
2136,1
2148,1
2154,1
2156,1
2163,1
2164,1
2167,1
2169,1
2174,1
2181,1
2187,1
2196,1
2201,1
2205,1
2206,1
2219,1
2226,1
2227,1
2228,1
2229,1
2235,1
2238,1
2241,1
2244,1
2245,1
2246,1
2248,1
2253,1
2254,1
2260,1
2267,1
2269,1
2277,1
2278,1
2279,1
2281,1
2282,1
2293,1
2294,1
2297,1
2305,1
2311,1
2312,1
2316,1
2320,1
2321,1
2326,1
2328,1
2331,1
2336,1
2342,1
2346,1
2349,1
2353,1
2356,1
2361,1
2366,1
2367,1
2370,1
2379,1
2380,1
2381,1
2382,1
2385,1
2386,1
2389,1
2398,1
2399,1
2400,1
2406,1
2411,1
2412,1
2413,1
2425,1
2426,1
2427,1
2429,1
2432,1
2434,1
2437,1
2438,1
2443,1
2444,1
2445,1
2450,1
2451,1
2452,1
2453,1
2457,1
2460,1
2461,1
2462,1
2464,1
2467,1
